,,,,,,,,Fail Items,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALFA ROMEO,146,2000,31,9,29,22,71,7,22.6,10,32.3,8,25.8,5,16.1,3,9.7,4,12.9,4,12.9,5,16.1,1,3.2,0,0,4,12.9,6,19.4,0,0,0,0
ALFA ROMEO,146,2001,2,1,50,1,50,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0,0,0,0
ALFA ROMEO,147,2001,59,15,25.4,44,74.6,15,25.4,27,45.8,25,42.4,9,15.3,14,23.7,4,6.8,4,6.8,22,37.3,4,6.8,14,23.7,9,15.3,1,1.7,1,1.7,0,0
ALFA ROMEO,147,2002,162,54,33.3,108,66.7,21,13,49,30.2,45,27.8,16,9.9,23,14.2,19,11.7,11,6.8,44,27.2,3,1.9,21,13,20,12.3,6,3.7,1,0.6,0,0
ALFA ROMEO,147,2003,133,38,28.6,95,71.4,31,23.3,45,33.8,43,32.3,15,11.3,24,18,16,12,6,4.5,42,31.6,3,2.3,13,9.8,16,12,2,1.5,0,0,0,0
ALFA ROMEO,147,2004,92,17,18.5,75,81.5,17,18.5,28,30.4,35,38,9,9.8,19,20.7,13,14.1,2,2.2,36,39.1,6,6.5,24,26.1,7,7.6,1,1.1,0,0,0,0
ALFA ROMEO,147,2005,24,10,41.7,14,58.3,3,12.5,4,16.7,5,20.8,1,4.2,6,25,2,8.3,0,0,5,20.8,1,4.2,1,4.2,2,8.3,0,0,0,0,0,0
ALFA ROMEO,147,2006,105,40,38.1,65,61.9,13,12.4,20,19,29,27.6,6,5.7,17,16.2,6,5.7,1,1,27,25.7,7,6.7,9,8.6,7,6.7,0,0,1,1,0,0
ALFA ROMEO,147,2007,16,8,50,8,50,4,25,0,0,4,25,0,0,0,0,2,12.5,0,0,4,25,0,0,2,12.5,0,0,0,0,0,0,0,0
ALFA ROMEO,147,2008,65,38,58.5,27,41.5,4,6.2,5,7.7,11,16.9,1,1.5,9,13.8,0,0,1,1.5,11,16.9,4,6.2,6,9.2,1,1.5,0,0,0,0,0,0
ALFA ROMEO,147,2010,17,8,47.1,9,52.9,1,5.9,1,5.9,0,0,0,0,5,29.4,0,0,0,0,0,0,3,17.6,3,17.6,0,0,1,5.9,0,0,0,0
ALFA ROMEO,155,1993,1,0,0,1,100,0,0,1,100,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALFA ROMEO,155,1995,1,0,0,1,100,0,0,0,0,1,100,1,100,0,0,0,0,0,0,1,100,0,0,0,0,1,100,0,0,0,0,0,0
ALFA ROMEO,155,1996,3,0,0,3,100,0,0,0,0,2,66.7,1,33.3,0,0,2,66.7,0,0,3,100,0,0,0,0,1,33.3,0,0,0,0,0,0
ALFA ROMEO,155,1997,6,0,0,6,100,2,33.3,3,50,2,33.3,0,0,2,33.3,1,16.7,1,16.7,1,16.7,1,16.7,0,0,0,0,0,0,0,0,0,0
ALFA ROMEO,156,1998,21,2,9.5,19,90.5,2,9.5,6,28.6,12,57.1,5,23.8,7,33.3,4,19,5,23.8,11,52.4,0,0,4,19,4,19,5,23.8,0,0,0,0
ALFA ROMEO,156,1999,79,23,29.1,56,70.9,7,8.9,26,32.9,27,34.2,13,16.5,16,20.3,4,5.1,9,11.4,23,29.1,4,5.1,9,11.4,14,17.7,9,11.4,0,0,0,0
ALFA ROMEO,156,2000,169,31,18.3,138,81.7,27,16,54,32,72,42.6,29,17.2,32,18.9,10,5.9,15,8.9,69,40.8,7,4.1,37,21.9,29,17.2,16,9.5,0,0,0,0
ALFA ROMEO,156,2001,263,73,27.8,190,72.2,36,13.7,74,28.1,107,40.7,36,13.7,42,16,23,8.7,21,8,104,39.5,5,1.9,38,14.4,33,12.5,18,6.8,1,0.4,0,0
ALFA ROMEO,156,2002,243,78,32.1,165,67.9,36,14.8,77,31.7,86,35.4,29,11.9,41,16.9,15,6.2,13,5.3,85,35,7,2.9,57,23.5,26,10.7,8,3.3,3,1.2,0,0
ALFA ROMEO,156,2003,280,88,31.4,192,68.6,47,16.8,98,35,97,34.6,19,6.8,64,22.9,14,5,8,2.9,94,33.6,11,3.9,61,21.8,19,6.8,11,3.9,3,1.1,0,0
ALFA ROMEO,156,2004,277,80,28.9,197,71.1,43,15.5,85,30.7,101,36.5,24,8.7,39,14.1,15,5.4,10,3.6,103,37.2,10,3.6,85,30.7,34,12.3,6,2.2,2,0.7,1,0.4
ALFA ROMEO,156,2005,55,20,36.4,35,63.6,6,10.9,18,32.7,19,34.5,2,3.6,4,7.3,3,5.5,3,5.5,19,34.5,5,9.1,9,16.4,3,5.5,1,1.8,0,0,0,0
ALFA ROMEO,156,2006,15,3,20,12,80,2,13.3,5,33.3,4,26.7,0,0,3,20,1,6.7,1,6.7,4,26.7,2,13.3,4,26.7,0,0,2,13.3,0,0,0,0
ALFA ROMEO,159,2006,148,74,50,74,50,4,2.7,17,11.5,34,23,3,2,18,12.2,5,3.4,5,3.4,29,19.6,9,6.1,7,4.7,7,4.7,3,2,0,0,0,0
ALFA ROMEO,159,2007,61,37,60.7,24,39.3,3,4.9,7,11.5,13,21.3,2,3.3,4,6.6,0,0,1,1.6,12,19.7,2,3.3,3,4.9,1,1.6,2,3.3,0,0,0,0
ALFA ROMEO,159,2008,182,120,65.9,62,34.1,9,4.9,11,6,13,7.1,2,1.1,22,12.1,3,1.6,0,0,8,4.4,6,3.3,10,5.5,4,2.2,2,1.1,2,1.1,0,0
ALFA ROMEO,159,2009,20,18,90,2,10,1,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALFA ROMEO,159,2010,46,39,84.8,7,15.2,0,0,3,6.5,0,0,0,0,3,6.5,0,0,0,0,0,0,0,0,2,4.3,0,0,0,0,0,0,0,0
ALFA ROMEO,164,1989,1,0,0,1,100,0,0,0,0,1,100,0,0,1,100,0,0,0,0,1,100,0,0,1,100,0,0,0,0,0,0,0,0
ALFA ROMEO,164,1993,1,0,0,1,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALFA ROMEO,164,1996,2,0,0,2,100,0,0,1,50,1,50,0,0,0,0,0,0,0,0,1,50,0,0,1,50,0,0,2,100,0,0,0,0
ALFA ROMEO,166,2000,3,1,33.3,2,66.7,0,0,0,0,1,33.3,0,0,0,0,1,33.3,0,0,0,0,0,0,0,0,1,33.3,1,33.3,0,0,0,0
ALFA ROMEO,166,2001,4,3,75,1,25,0,0,1,25,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALFA ROMEO,166,2002,1,0,0,1,100,0,0,0,0,1,100,0,0,0,0,1,100,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0
ALFA ROMEO,166,2004,13,1,7.7,12,92.3,2,15.4,6,46.2,7,53.8,6,46.2,4,30.8,2,15.4,1,7.7,7,53.8,1,7.7,1,7.7,7,53.8,0,0,0,0,0,0
ALFA ROMEO,166,2005,4,2,50,2,50,0,0,0,0,2,50,0,0,0,0,0,0,0,0,2,50,1,25,0,0,0,0,0,0,0,0,0,0
ALFA ROMEO,166,2006,2,0,0,2,100,0,0,1,50,0,0,0,0,0,0,1,50,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0
ALFA ROMEO,BRERA,2006,19,10,52.6,9,47.4,1,5.3,4,21.1,5,26.3,0,0,3,15.8,0,0,0,0,3,15.8,2,10.5,0,0,0,0,1,5.3,0,0,0,0
ALFA ROMEO,BRERA,2007,7,6,85.7,1,14.3,1,14.3,0,0,0,0,0,0,1,14.3,0,0,0,0,1,14.3,0,0,0,0,0,0,0,0,0,0,0,0
ALFA ROMEO,BRERA,2008,18,12,66.7,6,33.3,0,0,1,5.6,1,5.6,0,0,2,11.1,0,0,0,0,1,5.6,0,0,0,0,0,0,1,5.6,0,0,0,0
ALFA ROMEO,BRERA,2010,3,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALFA ROMEO,GIULIETTA,2010,19,16,84.2,3,15.8,0,0,1,5.3,0,0,0,0,0,0,0,0,0,0,1,5.3,0,0,1,5.3,0,0,0,0,1,5.3,0,0
ALFA ROMEO,GIULIETTA,2011,7,7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALFA ROMEO,GT,2004,54,14,25.9,40,74.1,9,16.7,14,25.9,17,31.5,6,11.1,6,11.1,9,16.7,3,5.6,18,33.3,3,5.6,9,16.7,7,13,8,14.8,0,0,0,0
ALFA ROMEO,GT,2005,36,9,25,27,75,4,11.1,11,30.6,8,22.2,2,5.6,10,27.8,5,13.9,0,0,10,27.8,2,5.6,10,27.8,3,8.3,2,5.6,1,2.8,0,0
ALFA ROMEO,GT,2006,84,31,36.9,53,63.1,8,9.5,16,19,19,22.6,4,4.8,12,14.3,5,6,1,1.2,19,22.6,5,6,18,21.4,7,8.3,2,2.4,0,0,0,0
ALFA ROMEO,GT,2007,20,7,35,13,65,4,20,8,40,6,30,0,0,8,40,0,0,0,0,6,30,0,0,2,10,2,10,0,0,0,0,0,0
ALFA ROMEO,GT,2008,47,22,46.8,25,53.2,5,10.6,9,19.1,9,19.1,1,2.1,9,19.1,1,2.1,1,2.1,9,19.1,2,4.3,5,10.6,2,4.3,1,2.1,0,0,0,0
ALFA ROMEO,GT,2009,5,2,40,3,60,1,20,3,60,2,40,0,0,0,0,0,0,0,0,2,40,0,0,1,20,0,0,0,0,1,20,0,0
ALFA ROMEO,GT,2010,5,3,60,2,40,0,0,1,20,1,20,0,0,0,0,0,0,0,0,1,20,1,20,0,0,0,0,0,0,0,0,0,0
ALFA ROMEO,GTV,1981,2,1,50,1,50,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALFA ROMEO,GTV,1997,3,0,0,3,100,0,0,1,33.3,1,33.3,1,33.3,0,0,0,0,0,0,1,33.3,0,0,0,0,1,33.3,0,0,0,0,0,0
ALFA ROMEO,GTV,1998,1,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALFA ROMEO,GTV,1999,9,2,22.2,7,77.8,2,22.2,3,33.3,2,22.2,2,22.2,0,0,2,22.2,1,11.1,2,22.2,1,11.1,3,33.3,4,44.4,1,11.1,0,0,0,0
ALFA ROMEO,GTV,2000,5,2,40,3,60,0,0,0,0,1,20,0,0,0,0,0,0,0,0,2,40,1,20,0,0,1,20,1,20,0,0,0,0
ALFA ROMEO,GTV,2001,7,5,71.4,2,28.6,0,0,0,0,1,14.3,1,14.3,0,0,0,0,0,0,1,14.3,0,0,0,0,2,28.6,0,0,0,0,0,0
ALFA ROMEO,GTV,2002,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALFA ROMEO,GTV,2003,1,0,0,1,100,0,0,1,100,0,0,1,100,0,0,0,0,1,100,0,0,0,0,0,0,1,100,0,0,0,0,0,0
ALFA ROMEO,GTV,2004,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALFA ROMEO,MITO,2009,11,6,54.5,5,45.5,0,0,1,9.1,2,18.2,0,0,1,9.1,1,9.1,0,0,0,0,1,9.1,0,0,0,0,1,9.1,0,0,0,0
ALFA ROMEO,MITO,2010,31,15,48.4,16,51.6,2,6.5,1,3.2,0,0,0,0,11,35.5,0,0,0,0,0,0,0,0,1,3.2,1,3.2,1,3.2,0,0,0,0
ALFA ROMEO,MITO,2011,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALFA ROMEO,OTHER,1982,1,0,0,1,100,0,0,1,100,1,100,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,1,100,0,0,0,0
ALFA ROMEO,OTHER,1984,1,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0
ALFA ROMEO,OTHER,1992,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALFA ROMEO,OTHER,1996,5,2,40,3,60,0,0,1,20,1,20,1,20,0,0,3,60,0,0,1,20,1,20,0,0,1,20,1,20,0,0,0,0
ALFA ROMEO,OTHER,1997,5,2,40,3,60,2,40,2,40,0,0,1,20,2,40,1,20,0,0,0,0,0,0,0,0,1,20,1,20,0,0,0,0
ALFA ROMEO,OTHER,1998,3,0,0,3,100,0,0,0,0,2,66.7,0,0,1,33.3,0,0,0,0,2,66.7,1,33.3,0,0,0,0,0,0,0,0,0,0
ALFA ROMEO,OTHER,1999,18,7,38.9,11,61.1,2,11.1,6,33.3,3,16.7,2,11.1,1,5.6,1,5.6,1,5.6,4,22.2,0,0,0,0,2,11.1,2,11.1,0,0,0,0
ALFA ROMEO,OTHER,2000,18,5,27.8,13,72.2,5,27.8,6,33.3,8,44.4,1,5.6,1,5.6,3,16.7,1,5.6,9,50,0,0,3,16.7,2,11.1,3,16.7,0,0,0,0
ALFA ROMEO,OTHER,2001,139,43,30.9,96,69.1,28,20.1,45,32.4,48,34.5,18,12.9,23,16.5,7,5,3,2.2,46,33.1,2,1.4,28,20.1,15,10.8,6,4.3,0,0,0,0
ALFA ROMEO,OTHER,2002,102,30,29.4,72,70.6,21,20.6,41,40.2,42,41.2,9,8.8,17,16.7,8,7.8,3,2.9,41,40.2,1,1,13,12.7,15,14.7,1,1,1,1,0,0
ALFA ROMEO,OTHER,2003,75,26,34.7,49,65.3,10,13.3,25,33.3,27,36,10,13.3,15,20,10,13.3,3,4,24,32,1,1.3,10,13.3,12,16,1,1.3,1,1.3,0,0
ALFA ROMEO,OTHER,2004,44,10,22.7,34,77.3,8,18.2,14,31.8,18,40.9,8,18.2,9,20.5,7,15.9,2,4.5,19,43.2,3,6.8,9,20.5,4,9.1,0,0,1,2.3,0,0
ALFA ROMEO,OTHER,2005,5,1,20,4,80,1,20,0,0,3,60,1,20,1,20,0,0,0,0,2,40,0,0,0,0,1,20,0,0,0,0,0,0
ALFA ROMEO,OTHER,2006,2,0,0,2,100,0,0,2,100,1,50,0,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0
ALFA ROMEO,OTHER,2008,1,0,0,1,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALFA ROMEO,OTHER,2009,5,3,60,2,40,0,0,1,20,1,20,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0
ALFA ROMEO,OTHER,2010,3,2,66.7,1,33.3,0,0,0,0,0,0,1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,1,33.3,0,0,0,0,0,0
ALFA ROMEO,OTHER,2011,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALFA ROMEO,SPIDER,1988,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALFA ROMEO,SPIDER,1989,3,2,66.7,1,33.3,1,33.3,1,33.3,0,0,1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALFA ROMEO,SPIDER,1990,5,1,20,4,80,2,40,1,20,0,0,1,20,0,0,0,0,2,40,1,20,0,0,0,0,1,20,0,0,0,0,0,0
ALFA ROMEO,SPIDER,1991,1,0,0,1,100,0,0,0,0,1,100,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0
ALFA ROMEO,SPIDER,1993,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALFA ROMEO,SPIDER,1994,1,0,0,1,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALFA ROMEO,SPIDER,1996,6,1,16.7,5,83.3,0,0,3,50,1,16.7,0,0,0,0,1,16.7,0,0,2,33.3,2,33.3,0,0,1,16.7,2,33.3,0,0,0,0
ALFA ROMEO,SPIDER,1997,4,2,50,2,50,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,1,25,0,0,0,0
ALFA ROMEO,SPIDER,1998,8,2,25,6,75,2,25,0,0,1,12.5,0,0,1,12.5,0,0,0,0,1,12.5,0,0,0,0,1,12.5,2,25,0,0,0,0
ALFA ROMEO,SPIDER,1999,9,4,44.4,5,55.6,1,11.1,1,11.1,2,22.2,1,11.1,1,11.1,0,0,0,0,2,22.2,0,0,0,0,1,11.1,1,11.1,0,0,0,0
ALFA ROMEO,SPIDER,2000,11,7,63.6,4,36.4,0,0,3,27.3,1,9.1,0,0,1,9.1,3,27.3,1,9.1,1,9.1,0,0,0,0,0,0,2,18.2,0,0,0,0
ALFA ROMEO,SPIDER,2001,18,8,44.4,10,55.6,2,11.1,4,22.2,0,0,1,5.6,2,11.1,2,11.1,0,0,2,11.1,0,0,1,5.6,3,16.7,0,0,0,0,0,0
ALFA ROMEO,SPIDER,2002,2,1,50,1,50,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALFA ROMEO,SPIDER,2003,4,1,25,3,75,0,0,2,50,1,25,0,0,0,0,2,50,0,0,2,50,1,25,0,0,0,0,1,25,0,0,0,0
ALFA ROMEO,SPIDER,2004,1,0,0,1,100,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASQUITH,OTHER,1997,2,1,50,1,50,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASTON MARTIN,DB9,2008,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASTON MARTIN,DB9,2009,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASTON MARTIN,OTHER,1999,1,0,0,1,100,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASTON MARTIN,OTHER,2000,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASTON MARTIN,OTHER,2002,5,4,80,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,1,20,1,20,0,0,0,0
ASTON MARTIN,OTHER,2003,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASTON MARTIN,OTHER,2004,4,0,0,4,100,2,50,3,75,1,25,0,0,1,25,0,0,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0
ASTON MARTIN,OTHER,2005,6,2,33.3,4,66.7,2,33.3,2,33.3,0,0,0,0,0,0,0,0,0,0,0,0,1,16.7,0,0,0,0,0,0,0,0,0,0
ASTON MARTIN,OTHER,2006,21,14,66.7,7,33.3,1,4.8,3,14.3,0,0,0,0,1,4.8,0,0,0,0,0,0,0,0,2,9.5,0,0,0,0,0,0,0,0
ASTON MARTIN,OTHER,2007,5,2,40,3,60,1,20,0,0,1,20,0,0,0,0,0,0,0,0,0,0,2,40,0,0,0,0,0,0,0,0,0,0
ASTON MARTIN,OTHER,2008,7,7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASTON MARTIN,OTHER,2010,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASTON MARTIN,VANQUISH,2003,1,0,0,1,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUDI,100,1986,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUDI,100,1988,1,0,0,1,100,1,100,1,100,1,100,1,100,0,0,0,0,0,0,1,100,0,0,0,0,1,100,0,0,0,0,0,0
AUDI,100,1989,6,1,16.7,5,83.3,1,16.7,2,33.3,1,16.7,1,16.7,1,16.7,0,0,0,0,1,16.7,0,0,0,0,1,16.7,0,0,0,0,0,0
AUDI,100,1990,1,0,0,1,100,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUDI,100,1992,5,2,40,3,60,1,20,1,20,1,20,2,40,0,0,2,40,1,20,0,0,0,0,0,0,2,40,0,0,0,0,0,0
AUDI,100,1993,5,4,80,1,20,0,0,0,0,1,20,0,0,0,0,0,0,0,0,1,20,0,0,1,20,0,0,0,0,0,0,0,0
AUDI,100,1994,5,1,20,4,80,1,20,0,0,1,20,1,20,2,40,1,20,0,0,1,20,0,0,0,0,1,20,1,20,0,0,0,0
AUDI,200,1990,1,0,0,1,100,0,0,0,0,1,100,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0
AUDI,200,2010,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUDI,80,1982,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUDI,80,1984,4,1,25,3,75,0,0,1,25,1,25,1,25,0,0,0,0,1,25,1,25,0,0,0,0,1,25,1,25,0,0,0,0
AUDI,80,1986,3,2,66.7,1,33.3,0,0,1,33.3,0,0,0,0,0,0,1,33.3,0,0,0,0,0,0,0,0,0,0,1,33.3,0,0,0,0
AUDI,80,1987,7,1,14.3,6,85.7,1,14.3,1,14.3,1,14.3,1,14.3,1,14.3,1,14.3,0,0,1,14.3,0,0,0,0,3,42.9,2,28.6,0,0,0,0
AUDI,80,1988,2,0,0,2,100,1,50,1,50,1,50,1,50,1,50,1,50,2,100,1,50,0,0,0,0,1,50,1,50,0,0,0,0
AUDI,80,1989,7,3,42.9,4,57.1,0,0,1,14.3,2,28.6,0,0,2,28.6,0,0,0,0,2,28.6,0,0,0,0,2,28.6,0,0,0,0,0,0
AUDI,80,1990,13,4,30.8,9,69.2,5,38.5,6,46.2,3,23.1,5,38.5,3,23.1,2,15.4,1,7.7,2,15.4,0,0,0,0,6,46.2,1,7.7,0,0,0,0
AUDI,80,1991,10,4,40,6,60,1,10,3,30,1,10,2,20,0,0,0,0,0,0,1,10,2,20,0,0,5,50,0,0,0,0,0,0
AUDI,80,1992,25,10,40,15,60,4,16,8,32,5,20,4,16,7,28,3,12,2,8,5,20,2,8,1,4,6,24,0,0,0,0,0,0
AUDI,80,1993,76,24,31.6,52,68.4,6,7.9,24,31.6,27,35.5,10,13.2,11,14.5,13,17.1,7,9.2,27,35.5,3,3.9,4,5.3,17,22.4,5,6.6,1,1.3,0,0
AUDI,80,1994,85,26,30.6,59,69.4,12,14.1,21,24.7,23,27.1,14,16.5,17,20,19,22.4,5,5.9,26,30.6,7,8.2,5,5.9,18,21.2,11,12.9,0,0,0,0
AUDI,80,1995,27,6,22.2,21,77.8,7,25.9,12,44.4,7,25.9,7,25.9,8,29.6,2,7.4,3,11.1,6,22.2,3,11.1,2,7.4,8,29.6,3,11.1,0,0,0,0
AUDI,80,1996,3,0,0,3,100,0,0,0,0,1,33.3,1,33.3,2,66.7,0,0,1,33.3,1,33.3,2,66.7,0,0,1,33.3,0,0,0,0,0,0
AUDI,80,2003,1,0,0,1,100,0,0,1,100,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUDI,90,1988,2,1,50,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0,0,0
AUDI,A1,2010,10,7,70,3,30,2,20,0,0,0,0,0,0,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUDI,A1,2011,24,18,75,6,25,0,0,1,4.2,0,0,0,0,5,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUDI,A2,2000,27,8,29.6,19,70.4,2,7.4,9,33.3,5,18.5,1,3.7,5,18.5,3,11.1,0,0,2,7.4,0,0,5,18.5,4,14.8,0,0,0,0,0,0
AUDI,A2,2001,120,64,53.3,56,46.7,9,7.5,14,11.7,10,8.3,5,4.2,27,22.5,10,8.3,2,1.7,6,5,6,5,12,10,12,10,4,3.3,1,0.8,0,0
AUDI,A2,2002,81,40,49.4,41,50.6,7,8.6,18,22.2,7,8.6,10,12.3,15,18.5,8,9.9,1,1.2,4,4.9,2,2.5,6,7.4,10,12.3,4,4.9,1,1.2,0,0
